stop_name,stop_lat,stop_lon
AIRPORT STATION,33.643188,-84.446227
ARTS CENTER STATION,33.789335,-84.387342
ASHBY STATION,33.756252,-84.416924
AVONDALE STATION,33.775146,-84.282276
BANKHEAD STATION,33.772539,-84.42897
BROOKHAVEN-OGLETHORPE STATION,33.860099,-84.339358
BUCKHEAD STATION,33.850811,-84.368522
CHAMBLEE STATION,33.889484,-84.305054
CIVIC CENTER STATION,33.767519,-84.387697
COLLEGE PARK STATION,33.651762,-84.448795
DECATUR STATION,33.774692,-84.29532
DOME-GWCC-PHILIPS ARENA-CNN STATION,33.75663,-84.396827
DORAVILLE STATION,33.902985,-84.280147
DUNWOODY STATION,33.921301,-84.344355
EAST LAKE STATION,33.765206,-84.312958
EAST POINT STATION,33.677436,-84.440521
EDGEWOOD-CANDLER PARK STATION,33.761973,-84.339641
FIVE POINTS STATION,33.748496,-84.395929
GARNETT STATION,33.748471,-84.395928
GEORGIA STATE STATION,33.750387,-84.386241
HAMILTON E HOLMES STATION,33.754512,-84.470016
INDIAN CREEK STATION,33.769823,-84.22968
INMAN PARK-REYNOLDSTOWN STATION,33.757804,-84.352534
KENSINGTON STATION,33.772714,-84.251963
KING MEMORIAL STATION,33.749985,-84.375559
LAKEWOOD-FT MCPHERSON STATION,33.700678,-84.428778
LENOX STATION,33.845131,-84.35867
LINDBERGH CENTER STATION,33.823188,-84.369389
MEDICAL CENTER STATION,33.910766,-84.351587
MIDTOWN  STATION,33.781112,-84.386352
NORTH AVENUE STATION,33.772313,-84.387004
NORTH SPRINGS STATION,33.945088,-84.357199
OAKLAND CITY STATION,33.716974,-84.425044
PEACHTREE CENTER STATION,33.758006,-84.387789
SANDY SPRINGS STATION,33.931985,-84.350665
VINE CITY STATION,33.75657,-84.403985
WEST END STATION,33.736049,-84.413663
WEST LAKE STATION,33.75321,-84.445316
